Feature-Set;NSHAP-Value
coronary.artery.disease,chronic.kidney.disease,cancer;0.0008
coronary.artery.disease,asthma,copd;0.0000
coronary.artery.disease,asthma,dementia;0.0002
coronary.artery.disease,asthma,cancer;0.0002
coronary.artery.disease,copd,dementia;0.0003
coronary.artery.disease,copd,cancer;0.0005
coronary.artery.disease,dementia,cancer;0.0000
chf,cerebrovascular.disease,hepatitis;0.0000
chf,cerebrovascular.disease,endstage.renal.disease;0.0001
chf,cerebrovascular.disease,chronic.kidney.disease;0.0001
chf,cerebrovascular.disease,asthma;0.0000
chf,cerebrovascular.disease,copd;0.0002
chf,cerebrovascular.disease,dementia;-0.0000
chf,cerebrovascular.disease,cancer;0.0000
chf,hepatitis,endstage.renal.disease;0.0000
chf,hepatitis,chronic.kidney.disease;-0.0000
chf,hepatitis,asthma;0.0000
chf,hepatitis,copd;-0.0000
chf,hepatitis,dementia;0.0000
chf,hepatitis,cancer;0.0000
chf,endstage.renal.disease,chronic.kidney.disease;-0.0002
chf,endstage.renal.disease,asthma;-0.0000
chf,endstage.renal.disease,copd;0.0001
chf,endstage.renal.disease,dementia;0.0002
chf,endstage.renal.disease,cancer;0.0000
chf,chronic.kidney.disease,asthma;0.0003
chf,chronic.kidney.disease,copd;0.0001
chf,chronic.kidney.disease,dementia;0.0001
chf,chronic.kidney.disease,cancer;-0.0001
chf,asthma,copd;0.0006
chf,asthma,dementia;0.0001
chf,asthma,cancer;-0.0000
chf,copd,dementia;0.0001
chf,copd,cancer;-0.0002
chf,dementia,cancer;-0.0003
cerebrovascular.disease,hepatitis,endstage.renal.disease;-0.0000
cerebrovascular.disease,hepatitis,chronic.kidney.disease;0.0000
cerebrovascular.disease,hepatitis,asthma;0.0000
cerebrovascular.disease,hepatitis,copd;-0.0000
cerebrovascular.disease,hepatitis,dementia;-0.0000
cerebrovascular.disease,hepatitis,cancer;0.0000
cerebrovascular.disease,endstage.renal.disease,chronic.kidney.disease;0.0002
cerebrovascular.disease,endstage.renal.disease,asthma;0.0001
cerebrovascular.disease,endstage.renal.disease,copd;0.0000
cerebrovascular.disease,endstage.renal.disease,dementia;0.0000
cerebrovascular.disease,endstage.renal.disease,cancer;0.0000
cerebrovascular.disease,chronic.kidney.disease,asthma;0.0000
cerebrovascular.disease,chronic.kidney.disease,copd;0.0000
cerebrovascular.disease,chronic.kidney.disease,dementia;0.0001
cerebrovascular.disease,chronic.kidney.disease,cancer;-0.0000
cerebrovascular.disease,asthma,copd;0.0001
cerebrovascular.disease,asthma,dementia;0.0000
